dataOffset:  0x7C
loadAddress: 0x7F00
initAddress: 0x7F00
playAddress: 0x7F03
Load address: $7F00 Init address: $7F00 Play address: $7F03
Calling initroutine with subtune 0
Calling playroutine for 50 frames, starting from frame 0
| Frame | 00 01 02 03 04 05 06 | 07 08 09 10 11 12 13 | 14 15 16 17 18 19 20 | 21 22 23 24 | dt_us |
+-------+----+-----------------+----------------------+----------------------+-------------+-------+
|     0 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 6C 06 00 06 21 13 C9 | 00 00 00 0F |  4E20 |
|     1 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|     2 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|     3 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|     4 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|     5 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. .. .. .. | .. .. .. .. |  4E20 |
|     6 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 66 .. 96 .. .. .. .. | .. .. .. .. |  4E20 |
|     7 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 60 .. B4 .. .. .. .. | .. .. .. .. |  4E20 |
|     8 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 5A .. D2 .. .. .. .. | .. .. .. .. |  4E20 |
|     9 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 54 .. F0 .. .. .. .. | .. .. .. .. |  4E20 |
|    10 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 4E .. 0E 07 .. .. .. | .. .. .. .. |  4E20 |
|    11 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 48 .. 2C .. 20 .. .. | .. .. .. .. |  4E20 |
|    12 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 6C .. 00 06 21 .. 89 | .. .. .. .. |  4E20 |
|    13 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|    14 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|    15 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|    16 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|    17 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. 20 .. .. | .. .. .. .. |  4E20 |
|    18 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 00 .. 21 .. .. | .. .. .. .. |  4E20 |
|    19 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|    20 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|    21 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|    22 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|    23 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. 20 .. .. | .. .. .. .. |  4E20 |
|    24 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 72 0B 00 .. 21 .. C9 | .. .. .. .. |  4E20 |
|    25 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|    26 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|    27 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|    28 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|    29 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. 20 .. .. | .. .. .. .. |  4E20 |
|    30 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | D8 0C 00 .. 21 .. .. | .. .. .. .. |  4E20 |
|    31 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|    32 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|    33 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|    34 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|    35 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. 20 .. .. | .. .. .. .. |  4E20 |
|    36 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | 6C 06 00 .. 21 .. 89 | .. .. .. .. |  4E20 |
|    37 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|    38 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|    39 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|    40 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|    41 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. 20 .. .. | .. .. .. .. |  4E20 |
|    42 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 00 .. 21 .. .. | .. .. .. .. |  4E20 |
|    43 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. .. .. |  4E20 |
|    44 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 1E .. .. .. .. | .. .. .. .. |  4E20 |
|    45 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 3C .. .. .. .. | .. .. .. .. |  4E20 |
|    46 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 5A .. .. .. .. | .. .. .. .. |  4E20 |
|    47 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 78 .. 20 .. .. | .. .. .. .. |  4E20 |
|    48 | .. .. .. .. .. .. .. | .. .. .. .. .. .. .. | .. .. 00 .. 21 .. C9 | .. .. .. .. |  4E20 |
